"id","short-name","url","lifeUrl","OToLId","waarnemingId"
"Inocybe mixtilis","Inocybe mixtilis","http://www.wikidata.org/entity/Q10572841","1030841","130482","15162"
"Inocybe napipes","Inocybe napipes","http://www.wikidata.org/entity/Q10546836","1030820","98682","15037"
"Inocybe petiginosa","Inocybe petiginosa","http://www.wikidata.org/entity/Q5475617","1007192","366774","15460"
"Inocybe pusio","Inocybe pusio","http://www.wikidata.org/entity/Q10672727","1030872","130481","15442"
"Inocybe rimosa","Inocybe rimosa","http://www.wikidata.org/entity/Q1737818","1004605","505973","673302"
"Inocybe sindonia","Inocybe sindonia","http://www.wikidata.org/entity/Q10431265","188634","57431","15019"
"Inocybe splendens","Inocybe splendens","http://www.wikidata.org/entity/Q10535844","6706083","56903","13524"
"Inocybe squamata","Inocybe squamata","http://www.wikidata.org/entity/Q10700023","188635","723778","15466"
"Inocybe xanthomelas","Inocybe xanthomelas","http://www.wikidata.org/entity/Q10535867","189954","774417","15614"
"Kuehneromyces mutabilis","Kuehneromyces mutabilis","https://www.wikidata.org/wiki/Q732640","191087","595686","105307"
"Laccaria amethystina","Laccaria amethystina","http://www.wikidata.org/entity/Q28492278","198567","646438","14966"
"Laccaria bicolor","Laccaria bicolor","http://www.wikidata.org/entity/Q373625","194430","985685","15599"
"Laccaria laccata","Laccaria laccata","http://www.wikidata.org/entity/Q597340","133492","483859","15189"
"Laccaria proxima","Laccaria proxima","http://www.wikidata.org/entity/Q3027934","198289","1061929","15521"
"Laccaria tortilis","Laccaria tortilis","http://www.wikidata.org/entity/Q10477904","1007232","746901","15156"
"Lacrymaria lacrymabunda","Lacrymaria lacrymabunda","http://www.wikidata.org/entity/Q1423840","195715","128546","15594"
"Lactarius aurantiacus","Lactarius aurantiacus","http://www.wikidata.org/entity/Q1934567","188259","77181","105312"
"Lactarius blennius","Lactarius blennius","http://www.wikidata.org/entity/Q1543833","188032","912865","15240"
"Lactarius camphoratus","Lactarius camphoratus","http://www.wikidata.org/entity/Q28951","1004626","912862","13643"
"Lactarius chrysorrheus","Lactarius chrysorrheus","http://www.wikidata.org/entity/Q1530713","188574","451907","15731"
"Lactarius circellatus","Lactarius circellatus","http://www.wikidata.org/entity/Q1497311","1009343","912863","15277"
"Lactarius controversus","Lactarius controversus","http://www.wikidata.org/entity/Q1575309","187940","867347","15464"
"Lactarius deliciosus","Lactarius deliciosus","http://www.wikidata.org/entity/Q62138","188248","54236","13700"
"Lactarius deterrimus","Lactarius deterrimus","http://www.wikidata.org/entity/Q498221","1016697","558125","15452"
"Lactarius fulvissimus","Lactarius fulvissimus","http://www.wikidata.org/entity/Q926663","191230","5265","105316"
"Lactarius glyciosmus","Lactarius glyciosmus","http://www.wikidata.org/entity/Q650468","996195","392824","15367"
"Lactarius helvus","Lactarius helvus","http://www.wikidata.org/entity/Q1377524","188198","912861","13720"
"Lactarius hepaticus","Lactarius hepaticus","http://www.wikidata.org/entity/Q1337546","188210","451906","15384"
"Lactarius lacunarum","Lactarius lacunarum","http://www.wikidata.org/entity/Q2084666","191089","4096172","13606"
"Lactarius necator","Lactarius necator","http://www.wikidata.org/entity/Q103810863","10407409","186673","15724"
"Lactarius obscuratus","Lactarius obscuratus","http://www.wikidata.org/entity/Q2019931","192736","283589","15253"
